 pm25, pm10, o3, no2, so2, co,AQI
120,73,24,6,6,5,120
120,93,26,8,10,5,120
144,83,22,7,5,5,144
122,76,26,6,7,4,122
129,70,22,5,2,5,129
125,63,18,4,3,5,125
110,43,16,5,5,4,110
69,42,17,4,4,3,69
70,56,24,5,7,4,70
90,58,25,4,7,4,90
102,60,23,4,6,4,102
113,58,22,4,6,4,113
99,54,24,4,7,4,99
92,51,23,4,7,3,92
86,56,22,5,8,5,86
98,62,22,6,7,6,98
110,69,24,6,8,5,110
119,77,28,6,6,5,119
130,87,29,7,7,5,130
139,84,25,7,6,7,139
140,73,23,6,6,7,140
121,70,24,7,6,7,121
103,74,20,7,6,7,103
117,86,24,5,6,9,117
135,70,21,5,6,7,135
114,71,22,6,7,12,114
116,71,22,5,7,13,116
123,59,17,5,6,3,123
104,70,20,7,6,3,104
115,66,24,6,4,3,115
125,62,18,4,6,3,125
124,45,8,3,3,3,124
79,32,9,4,4,3,79
63,30,7,7,5,3,63
59,18,14,3,4,3,59
40,25,14,3,5,5,40
47,28,20,2,4,9,47
53,26,20,2,6,9,53
48,33,13,4,8,10,48
60,28,15,3,8,10,60
43,24,14,2,5,10,43
45,21,15,1,4,9,45
43,33,23,2,6,9,43
59,30,15,2,4,9,59
54,30,13,1,5,9,54
52,28,17,2,4,10,52
55,36,27,2,5,10,55
53, , , , , ,53
53,39,33,3,3,4,53
74,47,35,3,4,5,74
86,52,25,3,4,5,86
103,34,14,3,3,5,103
85,6,21,2,3,4,85
25,22,24,4,3,5,25
57,23,17,4,4,5,57
53,12,12,3,3,4,53
24,8,8,3,2,4,24
14,12,8,3,4,4,14
24,19,10,3,5,4,24
25,22,15,3,5,4,25
20,16,13,2,5,4,20
31,18,8,3,5,4,31
20,7,9,1,4,4,20
6, , , , , ,6
126,73,34,4,7,4,126
136,69,27,8,7,5,136
120,58,24,7,3,5,120
113,57,21,5,7,5,113
108,66,26,5,5,5,108
139,72,33,5,4,4,139
145,82,31,6,6,6,145
157,80,19,7,4,6,157
157,72,18,5,4,5,157
148,61,19,5,3,5,148
112,47,18,4,2,5,112
88,50,25,3,2,5,88
101, , , , , ,101
154,84,27,5,7,5,154
158,86,24,5,6,6,158
162,75,22,5,6,5,162
152,75,24,4,7,5,152
151,68,25,3,4,5,151
145,78,25,3,7,5,145
157,78,26,4,8,6,157
157,86,29,6,8,6,157
162,86,27,6,10,5,162
160,78,28,6,10,5,160
156,78,26,7,6,5,156
150,78,27,6,7,5,150
146,79,26,4,8,4,146
156,72,16,5,5,5,156
154,72,11,5,4,5,154
131,34,14,3,2,4,131
68,33,11,4,3,4,68
56,41,12,4,4,4,56
74,62,22,5,3,4,74
130,86,29,6,10,5,130
161,79,27,7,12,5,161
154,85,26,7,8,6,154
162,96,32,7,6,7,162
167,73,17,11,7,5,167
146,60,15,5,5,5,146
103,60,22,3,3,5,103
104,73,21,4,4,6,104
137,94,22,4,4,7,137
158,106,25,7,10,7,158
166,92,29,7,10,5,166
160,84,32,7,6,5,160
155,77,27,6,5,5,155
152,47,17,3,2,4,152
102,31,19,2,3,4,102
74,31,14,2,5,4,74
63,23,12,3,6,4,63
60,49,26,5,6,5,60
95,58,27,6,4,5,95
122,69,34,7,8,5,122
137,86,32,6,5,7,137
164,82,32,3,5,5,164
160,78,38,6,8,5,160
157,90,34,8,5,5,157
163,94,34,6,6,6,163
169,107,38,6,7,7,169
181,114,39,7,6,7,181
