 pm25, pm10, o3, no2, so2, co,AQI
159,62,6,11,9,4,159
89,100,41,12,8,10,100
152,130,20,15,11,11,152
177,112,13,14,9,11,177
171, , , , , ,171
168,100,32,13,10,10,168
162,116,39,14,8,11,162
177,122,36,12,9,12,177
165,114,37,13,7,9,165
163,119,41,15,10,10,163
161,139,29,16,11,10,161
172,132,7,15,6,12,172
184,149,31,17,9,23,184
182,127,30,16,9,13,182
174,80,31,12,9,4,174
135,94,144,14,9,5,144
152,114,40,13,8,6,152
163, , , , , ,163
164,122,40,10,9,7,164
172,118,38,11,10,7,172
165,122,38,11,14,8,165
175,143,39,10,7,8,175
144,72,10,9,14,6,144
138,78,12,11,15,9,138
138,87,16,13,13,9,138
160,80,9,12,11,7,160
157,81,1,10,12,7,157
147,77,13,8,12,7,147
146,85,23,9,13,8,146
143,94,9,10,12,8,143
160,99,7,13,10,9,160
166,113,14,9,11,7,166
170,94,19,9,11,6,170
159,139,9,11,12,9,159
191,142, ,10,10,8,191
192,197,8,13,10,14,197
239,170,14,11,12,13,239
190,89,12,10,12,8,190
139,57,2,8,10,10,139
129,120,3,10,14,10,129
166,132,7,13,18,12,166
179,137,9,13,20,10,179
186,109,10,11,18,7,186
192,122,8,13,11,9,192
151,120,28,12,14,10,151
172,124,11,17,11,10,172
177,112,9,11,11,8,177
170,133,7,12,14,10,170
182,133,8,13,11,9,182
179,140,12,15,13,10,179
185,128,5,14,12,10,185
183,114,7,15,11,8,183
165,121,3,13,11,8,165
174,123,3,31,17,13,174
292,125, ,13,8,9,292
164,110,12,11,11,7,164
160,74,24,14,14,8,160
121,84,6,13,11,6,121
138,74,11,11,8,3,138
104,79,6,11,8,4,104
116,80,21,10,8,4,116
127,92,17,11,7,5,127
151,95,14,11,8,7,151
150,121,16,13,7,10,150
171,123,4,13,23,8,171
174,104,8,11,13,9,174
162,93,24,11,11,8,162
157,81,10,11,9,5,157
141,108,15,11,8,7,141
156,104,15,12, ,6,156
171,110,27,13,7,7,171
163,102,5,20,6,9,163
159,36,23,7,5,6,159
160,70,6,13,9,3,160
90,70,12,11,10,4,90
103,92,13,12,18,4,103
114,59,12,11,16,2,114
89,76,23,11,15,4,89
122,104,20,15,11,5,122
161,69,157,11,22,14,161
112,96,28,27,18,10,112
145,90,22,13,14,7,145
149, , , , , ,149
140,78,41,11,10,10,140
134,74,18,11,9,5,134
110,99,19,12,11,6,110
142,80,19,9,9,4,142
109,88,20,9,8,7,109
117,96,5,8,11,8,117
140,131,9,8,10,10,140
172,100,27,6,8,7,172
157,89,20,33,9,6,157
124,106,12,9,8,8,124
146, , , , , ,146
152,75,21,9,10,6,152
136,106,14,9,9,9,136
166,69,24,9,9,7,166
119,58,6,8,8,4,119
101,74,8,8,12,6,101
131,82,16,8,9,7,131
151,93,17,9,9,6,151
159,105,18,9,9,8,159
164,89,24,8,9,6,164
160,88,32,9,9,10,160
142,90,33,8,7,6,142
152,83,19,9,12,7,152
145,74,5,7,17,5,145
144,103,9,12,9,10,144
158,89,21,8,11,7,158
128,91,27,6,11,6,128
58,47,8,7,9,4,58
76,40,6,9,9,4,76
71,36,7,11,9,4,71
68,48,4,12,9,5,68
81,41,6,11,9,3,81
64,44,8,11,9,4,64
64,61,12,13,9,7,64
93,77,19,15,9,10,93
129,90,16,10,9,9,129
139,85,16,10,13,9,139
135,77,14,9,9,8,135
135,88,19,11,9,8,135
138,89,16,12,9,7,138
147,94,17,11,10,9,147
154,80,20,12,10,6,154
147,76,16,9,8,6,147
149,63,15,10,12,5,149
120,56,14,12,10,6,120
94,59,15,13,10,4,94
106,62,15,12,9,5,106
102,56,11,13,9,4,102
88,56,10,13,9,4,88
88,50,7,12,9,5,88
78,55,10,12,9,4,78
86,63,16,14,11,6,86
110,72,14,15,11,7,110
124,79,7,15,10,7,124
139,73,9,15,10,6,139
142,73,9,15,10,6,142
135,57,6,14,11,5,135
95,67,9,17,11,6,95
119,78,9,16,11,7,119
138,73,5,16,22,8,138
137,72,8,17,35,7,137
139,68,6,15,13,6,139
143,77,8,15,13,8,143
151,90,8,11,14,10,151
159,96,18,13,12,9,159
166,103,14,13,11,12,166
171,106,15,13,13,12,171
166,108, ,13,15,16,166
167, , , , , ,167
76,71,2,8,12,5,76
117, , , , , ,117
115,82,19,9,18,8,115
148,88, ,13,12,7,148
156,70,1,19,13,5,156
115,76,9,17,13,6,115
124,57,2,18,16,5,124
95,88,9,18,12,9,95
130,80,23,15,12,8,130
128,59,13,16,11,4,128
103,71,42,17,15,6,103
126,81,13,15,12,6,126
144,68,9,13,12,5,144
125,71,161,18,12,6,161
137,42,1,10,13,4,137
78, , , , , ,78
42,64,6,7,12,4,64
98,80,9,8,12,7,98
131,87,10,9,12,9,131
130,104,9,10,12,12,130
156,82,12,10,11,6,156
142, , , , , ,142
146,93,1,12,13,11,146
162,91,22,13,13,9,162
158,90,9,13,12,9,158
151,100,14,13,12,9,151
164,83,1,17,14,11,164
130,87,16,12,12,7,130
158,77,28,12,12,6,158
119,71,8,13,12,6,119
116,73,8,10,12,5,116
125,83,12,9,12,8,125
137,84,7,9,12,9,137
135,75,8,10,12,8,135
129,81,6,10,12,7,129
138,95,4,12,13,10,138
152,103,17,11,14,9,152
162,122,4,12,14,11,162
170,65,6,9,14,6,170
115,74,10,9,14,6,115
93,51,13,7,27,4,93
72,53,7,8,2,6,72
82,45,7,8,9,5,82
69,33,6,6,10,3,69
49,41,6,7,10,5,49
40,39,9,8,16,4,40
53,38,6,6,6,6,53
86,52,10,7,7,6,86
121,47,14,7,10,3,121
110,39,10,6,13,3,110
86,38,9,6,16,3,86
65,22,1,5,16,2,65
28, , , , , ,28
38,24,7,7,10,3,38
33,30,7,7,10,4,33
44,47,8,9,9,5,47
56,48,6,11,7,5,56
68,39,6,10,8,4,68
58,48,7,10,6,5,58
58,52,9,11,4,6,58
70,36,6,10,5,3,70
53,41,5,10,2,4,53
55,44,10,9,5,3,55
69,38,8,11,3,5,69
62,18,8,11,4,4,62
33,45,6,11,10,5,45
59,53,8,9,13,4,59
64,72,3,8,13,6,72
93,90,4,8,13,8,93
131,58,1,11,13,5,131
75,58,3,14,13,5,75
90,82,5,11,13,7,90
134,71,4,10,13,6,134
128,60,8,11,13,7,128
112,72,4,14,13,8,112
140,56,4,12,13,5,140
121,66,12,13,13,6,121
120,62,20,16,13,6,120
113,62,11,12,13,7,113
117,42,9,10,13,5,117
71,31,9,8,12,4,71
53,27,10,8,13,5,53
40,55,7,8,13,5,55
78,38,9,8,13,3,78
58,45,9,9,13,4,58
64,52,5,9,13,6,64
92,45,5,12,13,5,92
72,55,3,15,13,7,72
86,67,4,15,13,7,86
120,86,11,15,13,6,120
131,91,12,18,13,6,131
123,78,11,18,13,5,123
136,64,12,15,13,9,136
118,87,13,10,13,9,118
138,73,11,12,12,10,138
135,68,17,15,13,8,135
121,61,10,11,13,8,121
116,33,7,9,13,5,116
67,23,5,6,13,5,67
34,23,8,6,13,4,34
49,17,6,6,13,4,49
30,30,6,8,13,7,30
57,41,7,9,13,6,57
64,36,6,9,13,3,64
66,34,8,9,13,3,66
59,40,9,10,13,6,59
68,26,7,9,14,4,68
51,13,8,8,13,2,51
38,26,8,10,13,4,38
52,33,8,8,13,5,52
59,45,10,10,12,6,59
90,44,11,10,13,5,90
91,31,6,9,13,3,91
49,32,6,9,13,3,49
25,39,7,10,13,6,39
62,43,5,10,13,5,62
63,38,7,9,12,4,63
75,44,8,9,13,4,75
89,45,10,10,13,5,89
80,48,7,9,11,4,80
65,51,8,11,8,7,65
61,62,9,11,10,9,62
100,103,7,10,10,9,103
111,21,6,9,9,3,111
41,33,7,8,9,3,41
108,87,25,15,12,6,108
142,84,23,13,8,7,142
132,111,28,17,10,8,132
153,97,24,19,8,7,153
145,103,28,17,9,8,145
146,110,29,18,9,7,146
153,103,30,18,8,8,153
160,115,32,20,8,9,160
167,131,36,19,8,10,167
179,120,36,20,8,8,179
162,129,34,22,9,9,162
153,99,37,14,13,7,153
147,129,34, ,9,8,147
159,115,27,26,9,7,159
151,106,25,16,11,6,151
138,106,29,17,9,8,138
130,108,26,18,12,8,130
132,103,18,17,11,7,132
132,96,24,16,10,6,132
134,65,17,12,11,5,134
100,46,19,9,11,4,100
67,78,27,12,10,9,78
121,88,22,13,9,7,121
135,75,23,10,9,5,135
112,82,18,14,8,8,112
130,104,30,14,9,8,130
147,79,18,12,8,5,147
111,59,5,11,8,5,111
85,74,16,11,10,5,85
106,87,16,11,11,5,106
115,80,13,11,11,6,115
107,83,24,10,11,7,107
116,76,28,12,9,5,116
113,92,31,14,8,7,113
133,98,32,14,13,6,133
136,102,30,13,9,6,136
136,93,28,12,9,5,136
129,97,34,11,9,6,129
138,84,20,13,10,5,138
119,74,19,9,8,5,119
112,72,30,8,7,4,112
109,66,27,10,9,5,109
83,106,20,11,12,8,106
116,72,22,11,11,4,116
85,67,13,11,16,5,85
79,92,18,12,18,7,92
119, , , , , ,119
97,72,20,11,13,6,97
97,54,12,9,12,5,97
80,65,31,10,12,6,80
92,54,14,10,17,5,92
78,72,19,12,16,7,78
98,73,19,9,18,7,98
106,78,19,12,13,7,106
110,96,25,15,17,8,110
133,90,15,13,14,7,133
139,95,23,15,13,8,139
125,106,23,15,8,9,125
130,105,30,13,10,7,130
133,99,29,11,15,7,133
142,71,23,10,12,6,142
84,116,44,12,12,12,116
156,94,37,13,16,9,156
131,81,34,11,10,9,131
131,80,30,8,10,8,131
126,65,24,8,10,7,126
122,69,27,9,10,9,122
113,78,18,11,14,8,113
121,82,21,10,10,6,121
113,81,28,11,9,7,113
137,71,16,13,8,7,137
130,71,18,11,9,6,130
131,56,15,8,9,5,131
85,52,17,7,8,6,85
78,49,14,8,11,7,78
80,48,13,8,11,6,80
83,56,12,9,12,7,83
78,59,16,9,10,7,78
105,38,10,8,9,6,105
64,31,10,6,9,2,64
33,27,9,6,10,3,33
33,27,9,7,12,4,33
37,45,8,9,9,5,45
72,48,5,9,12,6,72
47,38,8,8,18,5,47
59,47,6,8,21,6,59
68,59,10,8,8,5,68
168,126,11,11,14,9,168
181,102,11,10,15,8,181
161,102,14,9,12,7,161
158,109,13,10,8,6,158
164,109,12,10,8,7,164
145,121,14,7,8,13,145
145,106,12,8,8,5,145
141,139,16,15,6,10,141
171,120,20,12,7,9,171
152,130,13,13,6,10,152
171,124,3,13,8,9,171
159, , , , , ,159
154,116,15,12,7,7,154
154,120,13,13,7,8,154
155,129,15,13,7,8,155
177,140,10,15,7,11,177
174,181,10,16,7,16,181
181,148,13,14,7,12,181
176,143,17,13,7,13,176
186,90,17,10,8,8,186
167,106,21,11,7,11,167
175,87,17,8,6,8,175
161,75,16,8,7,7,161
141,62,12,7,7,4,141
126,64,14,8,7,4,126
114,89,15,10,7,9,114
140,79,16,10,8,7,140
157,61,16,9,8,5,157
124, ,15,8,7,4,124
125, ,17,8,7,5,125
137,148,20,10,10,6,148
71,155,15,10,6,7,155
165,177,16,12,7,11,177
167,148,17,13,8,12,167
189,157,18,11,8,7,189
152,125,21,10,8,5,152
162,189,31,13,8,9,189
181,187,19,13,7,10,187
170,198,19,10,8,7,198
162,170,17,10,8,7,170
154,139,18,11,9,5,154
169,200,17,13,9,9,200
184,181,24,13,8,6,184
176,172,21,15,14,8,176
188,238,20,16,12,11,238
204,144,17,10,11,8,204
175,153,14,10,10,9,175
174,164,25,12,7,9,174
184,135,23,12,6,8,184
156,105,23,11,7,5,156
156,121,22,10,7,7,156
161,96,25,9,7,5,161
146,112,14,13,11,6,146
158,105,21,12,9,6,158
145,126,27,13,7,8,145
169,143,29,12,8,10,169
170,164,28,10,14,8,170
170,177,23,10,10,7,177
155,117,20,12,7,6,155
155,103,20,10,8,5,155
148,108,23,12,6,5,148
145,103,23,12,8,6,145
131,84,23,11,7,5,131
112,96,30,15,7,7,112
140,115,25,13,7,7,140
160,88,18,10,8,8,160
144,106,29,14,8,10,144
162,107,34,15,10,9,162
157,107,30,12,7,8,157
164,106,23,14,7,7,164
143,117,20,12,7,9,143
171,78,4,11,8,7,171
124,97,13,12,12,9,124
151,69,7,10,9,6,151
135,58,3,10,9,6,135
96,68,14,13,7,6,96
108,77,24,13,13,6,108
131,79,29,12,10,5,131
104,98,29,13,12,6,104
150,91,21,12,14,7,150
148,87,34,11,17,6,148
148,92,27,11,14,6,148
142,91,32,14,13,7,142
138,97,29,13,15,8,138
157,82,22,10,10,6,157
139,73,11,10,10,10,139
104, , , , , ,104
147,69,9,8,9,7,147
93,58,8,7,7,6,93
80,44,4,7,10,5,80
51,40,4,7,9,7,51
61,56,5,7,9,6,61
77,73,6,7,9,7,77
80,88,9,8,9,7,88
121,100,8,7,10,7,121
119,79,7,7,8,6,119
81,72,9,7,8,8,81
108,74,6,9,8,7,108
91,81,9,8,8,9,91
122,67,13,8,9,6,122
100,56,20,8,9,5,100
83,61,17,8,9,5,83
94, , , , , ,94
77,65,18,9,7,6,77
71,112,18,10,9,9,112
122,106,18,10,8,9,122
114,82,24,9,8,7,114
115,74,13,9,9,8,115
146,63,13,8,8,6,146
101,86,19,8,10,7,101
135,96,14,8,9,9,135
150,95,15,9,8,9,150
150,114,14,9,9,11,150
171,112,19,9,11,10,171
158,87,14,8,12,8,158
141,89,15,8,11,8,141
136,119,17,9,12,10,136
165,99,12,10,11,9,165
138,79,14,9,6,7,138
130,76,18,9,5,6,130
139,97,18,10,10,8,139
149,106,24,10,10,8,149
149,99,18,11,9,7,149
138,108,18,11,10,8,138
142,105,20,12,11,8,142
156,119,16,12,9,10,156
166,115,17,9,9,9,166
159,88,17,11,11,6,159
141,83,17,11,11,5,141
154,90,17,10,10,6,154
154,98,26,12,9,6,154
155,100,19,11,12,7,155
159,132,18,10,11,10,159
147,116,25,11,13,9,147
150,90,18,12,10,7,150
157,112,21,13,10,9,157
149,132,13,11,9,10,149
141,76,12,10,10,8,141
129,87,13,11,10,6,129
139,100,8,11,10,8,139
128,110,21,12,12,7,128
140,119,17,12,11,7,140
153,115,20,12,11,7,153
139,134,20,13,11,7,139
136,116,17,12,14,8,136
136,106,17,11,31,8,136
152,113,13,12,9,8,152
137,118,11,13,10,8,137
140,119,12,13,10,9,140
159,127,9,13,10,9,159
151,132,15,13,11,10,151
145,147,21,14,13,14,147
173,166,17,15,15,14,173
189,100,17,13,11,8,189
142,105,15,13,10,8,142
159,102,14,13,10,6,159
154,121,14,14,12,8,154
168,126,12,13,10,9,168
153,131,10,12,9,12,153
161,132,11,12,9,16,161
175,142,11,12,8,16,175
167,137,11,12,8,13,167
167,152,9,11,9,11,167
179,139,8,14,8,14,179
168,174,12,15,8,18,174
175,139,11,13,8,13,175
217,122,9,12,8,11,217
169,100,16,11,8,7,169
135,121,10,13,8,9,135
165,135,13,14,8,11,165
170,138,9,14,9,11,170
180,115,6,11,8,10,180
159,117,12,11,11,10,159
110,72, ,8,9, ,110
96,62, ,8,9, ,96
19,58, ,7,12, ,58
2, , , , , ,2
28,33, ,6,7, ,33
45,42, ,6,8, ,45
38,46, ,6,7, ,46
48,40, ,7,10, ,48
59,41, ,6,8, ,59
42,30, ,7,8, ,42
52,57, ,8,8, ,57
68,59, ,7,9, ,68
74, , , , , ,74
97,39,18,7,14,5,97
56,32,9,7,9,6,56
42,53,7,8,9,8,53
71,51,9,7,7,6,71
66,48,11,7,8,8,66
64,64,12,6,9,8,64
88,76,13,9,8,10,88
103,81,19,9,9,10,103
105, , , , , ,105
108,69,10,10,11,12,108
105,47,13,6,9,8,105
82,44,12,6,10,8,82
69,78,17,8,12,10,78
69,54,12,7,11,9,69
64,29,12,6,12,9,64
27,37,11,6,13,8,37
51,31,9,6,13,6,51
21,21,10,6,12,15,21
29,32,6,7,15,16,32
36,39,16,7,11,11,39
48, , , , , ,48
76,39,10,9,14,6,76
56, , , , , ,56
35, , , , , ,35
93,87,16,9,12,8,93
120,59,12,10,16,6,120
77,62,12,8,15,6,77
84,61,11,8,11,6,84
103,69,10,9,10,7,103
110,70,9,10,9,9,110
115,69,10,10,10,7,115
126,76,15,10,11,7,126
123,76,20,10,12,8,123
127,64,18,10,15,7,127
111,77,10,10,12,10,111
106,44,14,7,9,5,106
84,58,9,8,14,8,84
85,49,15,6,10,6,85
81,55,8,5,8,5,81
75,47,5,4,9,4,75
35,45,6,5,9,6,45
35,60,6,8,13,8,60
110,68,7,9,10,8,110
108,88,8,9,11,8,108
124,79,10,9,12,8,124
90,69,15,8,11,7,90
99,62,16,8,10,7,99
95,61,12,7,11,7,95
90,22,8,7,10,4,90
37,55,8,8,10,4,55
78,71,9,9,10,5,78
109,57,11,9,10,3,109
78,70,12,8,10,4,78
81,73,11,8,10,4,81
93,105,10,9,8,7,105
153,101,8,9,22,7,153
141,102,8,10,9,8,141
139,86,13,8,8,7,139
122,90,17,10,8,8,122
111,94,24,9,12,7,111
165,105, ,7,15, ,165
158,91, ,5,12, ,158
151,95, ,6,13, ,151
140,89, ,7,15, ,140
142,106, ,9,16, ,142
153,118, ,11,13, ,153
155,106, ,9,13, ,155
158,113, ,9,11, ,158
163,117, ,8,13, ,163
163,106, ,7,14, ,163
162,117, ,9,15, ,162
162,111, ,9,15, ,162
154,171, ,10,13, ,171
183,162, ,10,11, ,183
179,172, ,10,13, ,179
181,147, ,11,13, ,181
174,144, ,8,13, ,174
167,110, ,9,12, ,167
164,88, ,5,15, ,164
143,78, ,6,12, ,143
130,114, ,8,16, ,130
142,197, ,11,12, ,197
190,223, ,13,13, ,223
197,322, ,14,13, ,322
219,218, ,10,15, ,219
166,116, ,9,13, ,166
158,105, ,8,15, ,158
153,157, ,8,12, ,157
158,114, ,7,14, ,158
153,84, ,8,13, ,153
124,83, ,8,15, ,124
127,67, ,6,13, ,127
101,71, ,8,12, ,101
105,86, ,9,13, ,105
122,127, ,11,13, ,127
158,104, ,10,13, ,158
132,106, ,9,12, ,132
146,91, ,8,14, ,146
97,64, ,8,14, ,97
69,89, ,8,14, ,89
100,92, ,7,13, ,100
113,103, ,7,13, ,113
133,94, ,7,13, ,133
114, , , , , ,114
86,87, ,9,15, ,87
8, , , , , ,8
134,70, ,9,12, ,134
140,75, ,9,13, ,140
133,86, ,9,26, ,133
158,88, ,8,19, ,158
160,61, ,10,10, ,160
159,59, ,9,11, ,159
108,76, ,11,9, ,108
136,86, ,10,10, ,136
163,85, ,10,13, ,163
136,81, ,10,11, ,136
120,84, ,9,9, ,120
129,80, ,8,9, ,129
97,86, ,9,9, ,97
135,88, ,10,7, ,135
141,82, ,9,8, ,141
120,84, ,8,8, ,120
104,69, ,10,17, ,104
103,69, ,8,10, ,103
101,71, ,10,7, ,101
104,79, ,10,11, ,104
117,75, ,9,13, ,117
78,83, ,9,10, ,83
89,94, ,9,8, ,94
90,73, ,8,7, ,90
74,76, ,9,10, ,76
57,67, ,7,18, ,67
69,62, ,9,7, ,69
68,74, ,9,8, ,74
87,80, ,8,9, ,87
100,82, ,9,9, ,100
87,75, ,9,7, ,87
67,55, ,11,7, ,67
72,74, ,11,6, ,74
92,79, ,10,8, ,92
100,55, ,9,10, ,100
69,62, ,8,10, ,69
88, , , , , ,88
74,41, ,7,10, ,74
57,58, ,9,10, ,58
89,71, ,9,8, ,89
136,159, ,11,10, ,159
176,252, ,13,11, ,252
202,306, ,16,10, ,306
217,161, ,13,12, ,217
171,169, ,15,9, ,171
176,160, ,15,9, ,176
161,189, ,15,9, ,189
174,81, ,14,15, ,174
176,73, ,13,16, ,176
161,80, ,11,10, ,161
145,58, ,11,12, ,145
148,83, ,11,11, ,148
148,114, ,11,10, ,148
161,136, ,12,14, ,161
169,147, ,12,10, ,169
174,157, ,12,12, ,174
166,232, ,15,10, ,232
200,243, ,14,13, ,243
198,197, ,12,9, ,198
184,169, ,12,8, ,184
169,131, ,12,10, ,169
153,169, ,11,13, ,169
175,143, ,11,8, ,175
168,123, ,12,8, ,168
154,155, ,13,9, ,155
162,158, ,12,14, ,162
152,249, ,15,10, ,249
195,255, ,16,9, ,255
186,257, ,16,8, ,257
191,193, ,12,12, ,193
177,184, ,11,11, ,184
185,71, ,9,13, ,185
94,78, ,11,9, ,94
105, , , , , ,105
146,161, ,13,6, ,161
176,145, ,12,9, ,176
164,134, ,10,12, ,164
157,131, ,11,14, ,157
143,154, ,11,9, ,154
168,112, ,10,8, ,168
140,136, ,12,9, ,140
154,167, ,13,8, ,167
162,165, ,11,11, ,165
163,187, ,12,9, ,187
181,167, ,11,13, ,181
165,225, ,10,10, ,225
177,249, ,13,9, ,249
174,221, ,13,9, ,221
166,125, ,12,9, ,166
147,171, ,13,8, ,171
174,152, ,10,10, ,174
163,112, ,10,15, ,163
149,121, ,9,10, ,149
150,158, ,10,9, ,158
164,154, ,9,11, ,164
166,163, ,10,13, ,166
166,146, ,11,10, ,166
175,141, ,11,14, ,175
171,184, ,14,14, ,184
199,183, ,13,10, ,199
181,145, ,11,9, ,181
174,144, ,11,16, ,174
165,146, ,11,12, ,165
179,182, ,14,12, ,182
177,198, ,13,12, ,198
197,178, ,11,14, ,197
172,172, ,13,11, ,172
193,177, ,11,9, ,193
178,177, ,12,21, ,178
179,272, ,16,13, ,272
222,218, ,14,11, ,222
196,169, ,10,4, ,196
182,144, ,9,4, ,182
174,164, ,10,6, ,174
172,185, ,11,4, ,185
183,247, ,10,2, ,247
178,215, ,10,3, ,215
178,239, ,11,7, ,239
183,212, ,12,24, ,212
191,182, ,9,15, ,191
202,183, ,11,12, ,202
185,261, ,13,11, ,261
195,277, ,14,10, ,277
202,222, ,10,15, ,222
187,133, ,8,15, ,187
176,117, ,8,15, ,176
162,122, ,6,17, ,162
67,65, ,10,11, ,67
87,84, ,11,11, ,87
122,78, ,13,16, ,122
108,103, ,13,9, ,108
144,92, ,12,12, ,144
139,85, ,9,9, ,139
131,93, ,9,9, ,131
147,85, ,9,9, ,147
133,127, ,9,14, ,133
158,122, ,9,9, ,158
161,109, ,9,9, ,161
162,91, ,7,10, ,162
152,64, ,8,9, ,152
112,91, ,9,20, ,112
143,63, ,10,18, ,143
80,26, ,9,7, ,80
52,22, ,10,12, ,52
40,61, ,8,8, ,61
70,48, ,8,9, ,70
111,52, ,10,9, ,111
160,128, ,12,11, ,160
188,140, ,9,10, ,188
180,127, ,9,7, ,180
168,170, ,11,7, ,170
184,194, ,9,11, ,194
191,180, ,7,11, ,191
184, , , , , ,184
150,114, ,9,11, ,150
152,165, ,9,9, ,165
176,178, ,11,13, ,178
181,132, ,9,20, ,181
163,160, ,8,13, ,163
180,191, ,9,12, ,191
196,175, ,6,10, ,196
195,204, ,6,5, ,204
195,194, ,7,9, ,195
184,193, ,8,11, ,193
184,186, ,8,13, ,186
179,134, ,7,10, ,179
175,135, ,6,11, ,175
177,111, ,8,15, ,177
162,83, ,6,7, ,162
141,82, ,5,10, ,141
142,170, ,6,15, ,170
209,201, ,6,4, ,209
207,183, ,7,15, ,207
207,242, ,7,10, ,242
243,188, ,9,14, ,243
221,202, ,7,12, ,221
213,299, ,9,12, ,299
246,225, ,9,14, ,246
231,215, ,8,20, ,231
204,159, ,9,16, ,204
189,162, ,7,25, ,189
182,202, ,9,19, ,202
202,198, ,9,10, ,202
210,167, ,8,17, ,210
190,183, ,8,23, ,190
197,199, ,9,16, ,199
201,157, ,10,12, ,201
190,129, ,9,13, ,190
171,158, ,10,9, ,171
177,144, ,9,12, ,177
177,130, ,7,12, ,177
173,56, ,6,13, ,173
96,104, ,6,8, ,104
139,129, ,9,17, ,139
160,156, ,9,15, ,160
174,215, ,12,16, ,215
180,182, ,9,11, ,182
180,187, ,8,11, ,187
172,194, ,11,10, ,194
170,231, ,13,13, ,231
188,281, ,12,15, ,281
187,209, ,10,9, ,209
182,185, ,10,14, ,185
165,200, ,10,8, ,200
182,139, ,8,8, ,182
161,186, ,10,11, ,186
168,223, ,11,8, ,223
185,235, ,13,12, ,235
181,367, ,15,9, ,367
222,365, ,13,13, ,365
206,280, ,16,10, ,280
192,180, ,13,8, ,192
171,156, ,13,13, ,171
171,163, ,11,12, ,171
181,143, ,12,9, ,181
142,93, ,11,9, ,142
112,111, ,11,6, ,112
134,106, ,11,9, ,134
143,109, ,10,14, ,143
127,139, ,12,12, ,139
144,82, ,10,22, ,144
116,79, ,11,6, ,116
132,101, ,11,15, ,132
157,86, ,10,6, ,157
150,101, ,10,26, ,150
160,106, ,10,46, ,160
162, , , , , ,162
86,51, ,9,7, ,86
79,70, ,6,21, ,79
86,78, ,9,9, ,86
99,60, ,14,10, ,99
111,68, ,13,14, ,111
130,68, ,10,7, ,130
133,85, ,8,19, ,133
124,46, ,7,13, ,124
77,18, ,6,7, ,77
36,41, ,6,8, ,41
72,75, ,7,10, ,75
134,77, ,12,8, ,134
133,66, ,12,9, ,133
120,48, ,12,11, ,120
94,18, ,11,10, ,94
63,34, ,12,10, ,63
70,59, ,11,13, ,70
94,101, ,12,14, ,101
130,90, ,11,14, ,130
141,80, ,11,12, ,141
142,61, ,12,14, ,142
98,72, ,11,11, ,98
138,95, ,11,6, ,138
158,83, ,10,13, ,158
143,72, ,10,9, ,143
139,81, ,9,11, ,139
149,90, ,11,10, ,149
145,73, ,10,9, ,145
140,72, ,12,12, ,140
127, , , , , ,127
165,74, ,12,4, ,165
151, , , , , ,151
88,45, ,11,8, ,88
80,42, ,9,13, ,80
63,46, ,9,10, ,63
80,67, ,10,10, ,80
120,73, ,11,9, ,120
137,73, ,9,14, ,137
139,100, ,9,8, ,139
168,73, ,9,12, ,168
145,58, ,10,10, ,145
118,35, ,9,8, ,118
70,38, ,7,9, ,70
70,39, ,7,11, ,70
75,42, ,9,11, ,75
72,63, ,9,16, ,72
101,87, ,10,12, ,101
147,82, ,9,7, ,147
138,78, ,9,12, ,138
136,82, ,9,9, ,136
146,48, ,6,10, ,146
90,41, ,7,11, ,90
65,46, ,6,9, ,65
68,65, ,8,12, ,68
108,67, ,8,12, ,108
112,34, ,8,8, ,112
63,41, ,7,7, ,63
85,25, ,7,12, ,85
48,33, ,8,10, ,48
39,49, ,10,11, ,49
79,67, ,11,15, ,79
106,67, ,9,7, ,106
109,73, ,11,6, ,109
139,101, ,12,14, ,139
164,50, ,8,13, ,164
88,44, ,7,15, ,88
56,55, ,8,12, ,56
62,87, ,10,8, ,87
105,74, ,10,11, ,105
96,85, ,10,8, ,96
108,89, ,10,9, ,108
122,78, ,9,9, ,122
100,50, ,9,11, ,100
56,44, ,10,10, ,56
47,66, ,11,14, ,66
87,45, ,9,11, ,87
192,174, ,13,13, ,192
166,191, ,13,9, ,191
165,140, ,13,10, ,165
163,141, ,13,10, ,163
155,118, ,13,10, ,155
159,107, ,12,12, ,159
148,112, ,13,6, ,148
151,128, ,13,9, ,151
166,112, ,13,11, ,166
160,132, ,13,9, ,160
170,117, ,13,14, ,170
160,125, ,13,9, ,160
164,112, ,13,14, ,164
161,129, ,13,9, ,161
165,138, ,13,12, ,165
162,119, ,12,10, ,162
148,107, ,13,8, ,148
157,123, ,13,9, ,157
147,127, ,13,8, ,147
161,89, ,13,14, ,161
130,95, ,13,8, ,130
156,110, ,13,13, ,156
158,127, ,13,8, ,158
163,139, ,13,9, ,163
172,132, ,13,8, ,172
168,143, ,13,12, ,168
171,113, ,13,8, ,171
155,105, ,13,8, ,155
140,111, ,13,14, ,140
135,70, ,13,10, ,135
117,89, ,13,9, ,117
149,86, ,13,13, ,149
155,77, ,13,8, ,155
138,90, ,12,12, ,138
144,79, ,13,9, ,144
122,88, ,13,11, ,122
137,83, ,12,8, ,137
112,95, ,13,8, ,112
126,90, ,13,11, ,126
143,65, ,13,8, ,143
110,69, ,13,7, ,110
118,77, ,13,8, ,118
127,101, ,13,9, ,127
168,79, ,10,7, ,168
130,82, ,13,7, ,130
147,62, ,7,8, ,147
112,82, ,8,6, ,112
